Timestamp,A1 – Emails per day,A2 – Time on email,A3 – Professional context,B1 – Interface clarity,B2 – Understandable without explanation,B3 – Inbox layout organised,B4 – Confident after brief intro,B5 – Suitable for non-technical users,C1 – Categories intuitive,C2 – Classification appeared correct,C3 – Auto-categorisation saves time,D1 – Summaries accurate,D2 – Extracted fields save time,D3 – Draft replies appropriate,D4 – Per-category actions valuable,E1 – Reduces email time,E2 – Improves finding information,E3 – Helps respond faster,E4 – Useful in team environment,E5 – Would use for own email,F1 – Most useful feature,F2 – What to improve,F3 – Additional comments
2026-03-12T14:23:19.703Z,50–100,More than 2 hours,Finance / Banking / Trading,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The updating of personal preferences! Nice that it is adjustable over time especially when you see that you need something else.,Maybe a personalizable Dashbaord. Or containers for each categories?,Great idea!! Love that it is so personalizable.
2026-03-12T14:37:31.354Z,Fewer than 20,Less than 30 min,Academic / Research,4,3,4,4,3,5,4,4,4,5,4,4,4,4,5,4,4,"Automation preferences, gives customisability to the user similar to what systems like ChatGPT and Claude provide","Improve for nontechnical users like adding icons, making flow a bit easier to understand. Change color scheme to white and blue for trust since that’s key for when u let something look at your emails.",Na
2026-03-12T14:38:01.420Z,50–100,More than 2 hours,Finance / Banking / Trading,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,The artifacts. Super helpful! For instance the reply draft would safe so much time.,Make the Dashboard more visually appealing. Maybe more email system looking like?,Idea is very nice and innovative.
2026-03-12T14:51:18.996Z,Fewer than 20,Less than 30 min,Other: Real Estate,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"The email categories, because it helps me organize my emails",Different colour background,
2026-03-12T15:24:46.986Z,Fewer than 20,Less than 30 min,Consulting / Professional Services,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
2026-03-12T15:56:23.592Z,20–50,30–60 min,Technology / Engineering,4,2,4,5,4,5,5,5,4,5,4,4,4,4,3,4,5,email summaries,relevance/urgency ranking,
2026-03-12T17:27:53.297Z,Fewer than 20,Less than 30 min,Finance / Banking / Trading,4,4,3,3,2,5,5,5,5,5,5,5,5,4,4,5,5,Freedom of classification,Have it appear on tbe actual user gmail inbox,
2026-03-12T17:31:09.665Z,20–50,30–60 min,Technology / Engineering,4,4,4,4,2,4,4,3,5,5,5,4,4,4,3,3,2,,,
2026-03-12T20:41:33.629Z,50–100,More than 2 hours,Technology / Engineering,4,4,4,5,2,4,4,5,4,5,4,5,4,4,4,5,4,The per-category artifact differentiation — having bullet summaries for general emails and field extraction for financial ones is exactly how I'd want it. It maps well to how different email types actually get processed in a real workflow.,"I'd add a confidence score for classifications so users know when to double-check. Also, the ability to bulk-review and correct misclassifications in one pass would help during onboarding when the model is still learning your patterns.",The user-in-control approach is the right call — fully autonomous email handling would be too risky for most professional contexts. The plain-language preference setting is a nice touch that lowers the barrier for non-technical users.
2026-03-12T22:46:10.458Z,Fewer than 20,Less than 30 min,Academic / Research,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,
2026-03-13T06:24:18.363Z,More than 100,30–60 min,Finance / Banking / Trading,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Zusammenfassung von größeren E-Mails. Keine Zeit für diese Tapeten.,Voice-controlled e-mail AI Assistant; but in due time,Nice ringtone
2026-03-13T08:56:57.492Z,20–50,30–60 min,Academic / Research,4,4,4,5,5,5,4,4,4,4,4,5,4,5,4,4,4,,,
2026-03-13T10:25:39.687Z,50–100,More than 2 hours,Consulting / Professional Services,4,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,Summaries and extracting value,UI,
2026-03-14T10:02:44.805Z,Fewer than 20,Less than 30 min,Other: Sports,3,3,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,Draft,Visually more appealing,
2026-03-14T10:08:26.535Z,20–50,1–2 hours,Technology / Engineering,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,personalization of preferences,make categories be seen more clearly,
2026-03-14T10:09:28.760Z,More than 100,More than 2 hours,Finance / Banking / Trading,3,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,Everything adds value to the normal email system.,Categories more easy and faster to see,
2026-03-14T10:10:15.346Z,More than 100,More than 2 hours,Finance / Banking / Trading,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,Summaries especially of different lengths based on different categories.,-,
2026-03-14T10:13:16.701Z,20–50,1–2 hours,Consulting / Professional Services,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,all LLM features,Maybe add descirption texts or like a Q&A side or smth to easier understand it?,